sku,product_name,category,collection,material,secondary_material,color_palette,style_tags,msrp,length_cm,width_cm,height_cm,weight_kg,description,image_url,status,launch_year
SKU-0001,Tuscany Raw Oak Dining Table,Dining Table,Tuscany Collection,raw oak,,Warm Honey / Natural Cream,organic-modern | warm-neutrals | raw-wood,1099.0,200,100,75,48.5,Handcrafted dining table in raw European oak with a natural matte finish. Seats 6–8 comfortably. Part of the Tuscany Collection inspired by Italian farmhouse living.,https://catalog.example.com/images/SKU-0001.jpg,Active,2023
SKU-0002,Tuscany Linen Dining Chair,Chair,Tuscany Collection,linen,raw oak,Ivory Linen / Golden Oak,organic-modern | warm-neutrals | boucle,349.0,55,55,92,7.8,Upholstered dining chair in natural linen with a raw oak frame. Ergonomic backrest and removable seat cushion. Part of the Tuscany Collection.,https://catalog.example.com/images/SKU-0002.jpg,Active,2023
SKU-0003,Organic Living Bamboo Dining Table,Dining Table,Organic Living,bamboo,linen,Teak Brown / Oat Linen,organic-modern | boucle,1669.68,182.7,90.5,79.3,45.5,"Generously proportioned dining table for family gatherings, crafted from bamboo.",https://catalog.example.com/images/SKU-0003.jpg,Discontinued,2024
SKU-0004,Nordic Frost Wool Chair,Chair,Nordic Frost,wool,steel,Pale Birch / Arctic White,scandinavian | cool-tones,272.1,55.8,57.9,94.3,7.8,Comfortable wool dining chair with ergonomic lumbar support.,https://catalog.example.com/images/SKU-0004.jpg,Active,2025
SKU-0005,Metro Edge Marble Sofa,Sofa,Metro Edge,marble,steel,Black Steel / Charcoal Leather,minimalist | urban,838.84,211.6,87.1,94.3,52.8,Deep-seated marble sofa with plush cushions for ultimate relaxation.,https://catalog.example.com/images/SKU-0005.jpg,Active,2024
SKU-0006,Coastal Breeze Rattan Bookshelf,Bookshelf,Coastal Breeze,rattan,teak,Ocean Teak / Washed Linen,coastal | relaxed,421.45,90.8,39.0,174.8,35.4,Tall rattan bookshelf with a ladder-style lean design.,https://catalog.example.com/images/SKU-0006.jpg,Limited Edition,2025
SKU-0007,Organic Living Linen Coffee Table,Coffee Table,Organic Living,linen,teak,Natural Bamboo / Soft White,boucle | organic-modern,2235.54,106.9,56.1,42.7,18.0,Round linen coffee table combining form and function.,https://catalog.example.com/images/SKU-0007.jpg,Active,2021
SKU-0008,Nordic Frost Steel Bed Frame,Bed Frame,Nordic Frost,steel,birch,Matte Steel / Frost Grey,scandinavian | minimalist,1073.29,202.7,166.5,41.9,52.2,Minimalist steel bed frame with hidden under-bed storage.,https://catalog.example.com/images/SKU-0008.jpg,Active,2025
SKU-0009,Metro Edge Steel Side Table,Side Table,Metro Edge,steel,leather,Black Steel / Charcoal Leather,industrial | urban,1659.45,48.6,55.9,62.0,10.1,Round steel side table with a tapered pedestal base.,https://catalog.example.com/images/SKU-0009.jpg,Limited Edition,2023
SKU-0010,Coastal Breeze Teak Console,Console,Coastal Breeze,teak,linen,Driftwood / Sandy Beige,coastal | relaxed,2137.56,126.9,35.8,87.9,25.4,Slim teak console table for entryways and hallways.,https://catalog.example.com/images/SKU-0010.jpg,Limited Edition,2023
SKU-0011,Organic Living Teak Desk,Desk,Organic Living,teak,bamboo,Teak Brown / Oat Linen,boucle | warm-neutrals,688.04,128.0,63.9,79.4,30.3,Standing-height adjustable teak desk for home offices.,https://catalog.example.com/images/SKU-0011.jpg,Limited Edition,2025
SKU-0012,Nordic Frost Birch Nightstand,Nightstand,Nordic Frost,birch,wool,Matte Steel / Frost Grey,minimalist | scandinavian,1184.4,56.0,36.5,54.9,12.7,Petite birch nightstand perfect for small bedrooms.,https://catalog.example.com/images/SKU-0012.jpg,Active,2022
SKU-0013,Metro Edge Leather Dining Table,Dining Table,Metro Edge,leather,marble,White Marble / Gunmetal,minimalist | industrial,1642.13,194.5,102.3,74.4,42.3,"Sturdy leather table seating 6–8, ideal for modern dining rooms.",https://catalog.example.com/images/SKU-0013.jpg,Discontinued,2021
SKU-0014,Coastal Breeze Linen Chair,Chair,Coastal Breeze,linen,rattan,Ocean Teak / Washed Linen,warm-neutrals | relaxed,1763.65,49.9,54.1,89.0,8.9,Comfortable linen dining chair with ergonomic lumbar support.,https://catalog.example.com/images/SKU-0014.jpg,Limited Edition,2023
SKU-0015,Organic Living Bamboo Sofa,Sofa,Organic Living,bamboo,linen,Natural Bamboo / Soft White,boucle | warm-neutrals,2434.34,238.0,95.2,78.9,53.3,Deep-seated bamboo sofa with plush cushions for ultimate relaxation.,https://catalog.example.com/images/SKU-0015.jpg,Active,2025
SKU-0016,Nordic Frost Wool Bookshelf,Bookshelf,Nordic Frost,wool,steel,Pale Birch / Arctic White,cool-tones | minimalist,2392.05,89.8,31.7,174.1,39.1,Wall-mounted wool shelf system for books and décor.,https://catalog.example.com/images/SKU-0016.jpg,Active,2022
SKU-0017,Metro Edge Marble Coffee Table,Coffee Table,Metro Edge,marble,steel,Black Steel / Charcoal Leather,industrial | urban,332.23,129.1,66.9,45.4,18.2,Nesting marble coffee table set for flexible living spaces.,https://catalog.example.com/images/SKU-0017.jpg,Limited Edition,2024
SKU-0018,Coastal Breeze Rattan Bed Frame,Bed Frame,Coastal Breeze,rattan,teak,Ocean Teak / Washed Linen,warm-neutrals | relaxed,2376.75,233.4,176.5,42.5,52.3,Platform rattan bed frame with integrated headboard.,https://catalog.example.com/images/SKU-0018.jpg,Limited Edition,2023
SKU-0019,Organic Living Linen Side Table,Side Table,Organic Living,linen,teak,Teak Brown / Oat Linen,warm-neutrals | boucle,1116.68,45.5,46.7,57.7,10.2,Round linen side table with a tapered pedestal base.,https://catalog.example.com/images/SKU-0019.jpg,Active,2025
